year_film,year_ceremony,film,winner,film_id,audienceScore,tomatoMeter,runtimeMinutes,genre,boxOffice,days_to_ceremony,English,releaseMonth
2016,2017,Hacksaw Ridge,0,hacksaw_ridge_2016,91.0,84.0,139.0,War,$67.0M,114,Yes,11
2016,2017,Hell or High Water,0,hell_or_high_water_2016,88.0,97.0,97.0,Crime,$27.0M,191,Yes,8
2016,2017,La La Land,0,la_la_land_2016,81.0,91.0,128.0,Musical,$151.1M,63,Yes,12
2016,2017,Lion,0,lion_2016,91.0,84.0,121.0,Drama,$51.7M,67,Yes,12
2016,2017,Manchester by the Sea,0,manchester_by_the_sea_2016,78.0,96.0,137.0,Drama,$47.7M,72,Yes,12
2016,2017,Moonlight,1,moonlight_2016,79.0,98.0,111.0,Drama,$27.9M,100,Yes,11
2017,2018,Darkest Hour,0,darkest_hour_2017,82.0,84.0,125.0,History,$56.3M,102,Yes,12
2017,2018,Dunkirk,0,dunkirk_2017,81.0,92.0,107.0,War,$188.0M,256,Yes,7
2017,2018,Get Out,0,get_out_2017,86.0,98.0,104.0,Horror,$176.0M,403,Yes,2
2017,2018,The Shape of Water,1,the_shape_of_water_2017,72.0,92.0,123.0,Fantasy,$63.3M,102,Yes,12
2017,2018,"Three Billboards outside Ebbing, Missouri",0,"three_billboards_outside_ebbing,_missouri_2017",87.0,90.0,115.0,Crime,$54.1M,132,Yes,11
2018,2019,Black Panther,0,black_panther_2018,79.0,96.0,134.0,Action,$700.2M,373,Yes,2
2018,2019,BlacKkKlansman,0,blackkklansman_2018,83.0,96.0,134.0,Comedy,$48.6M,198,Yes,8
2018,2019,Bohemian Rhapsody,0,bohemian_rhapsody_2018,85.0,60.0,135.0,Biography,$216.3M,114,Yes,11
2018,2019,The Favourite,0,the_favourite_2018,70.0,93.0,120.0,Comedy,$34.2M,72,Yes,12
2018,2019,Green Book,1,green_book_2018,91.0,77.0,130.0,Comedy,$85.1M,95,Yes,11
2018,2019,Roma,0,roma_2018,72.0,96.0,135.0,Drama,,95,No,11
2018,2019,A Star Is Born,0,a_star_is_born_2018,80.0,90.0,135.0,Romance,$215.3M,142,Yes,10
2018,2019,Vice,0,vice_2018,60.0,65.0,132.0,Biography,$47.8M,61,Yes,12
2019,2020,Ford v Ferrari,0,ford_v_ferrari_2019,98.0,92.0,152.0,History,$117.6M,292,Yes,11
2019,2020,The Irishman,0,the_irishman_2019,86.0,95.0,209.0,Crime,,306,Yes,11
2019,2020,Jojo Rabbit,0,jojo_rabbit_2019,94.0,80.0,108.0,Comedy,$33.4M,299,Yes,11
2019,2020,Joker,0,joker_2019,88.0,69.0,122.0,Crime,$335.4M,334,Yes,10
2019,2020,Little Women,0,little_women_2019,92.0,95.0,135.0,Drama,$108.1M,252,Yes,12
2019,2020,Marriage Story,0,marriage_story_2019,85.0,95.0,136.0,Drama,,301,Yes,11
2019,2020,Parasite,1,parasite_2019,90.0,99.0,132.0,Comedy,$53.4M,306,No,11
2020,2021,Mank,0,mank_2020,60.0,83.0,132.0,Biography,,163,Yes,11
2020,2021,Promising Young Woman,0,promising_young_woman_2020,87.0,90.0,113.0,Comedy,$6.4M,121,Yes,12
2020,2021,Sound of Metal,0,sound_of_metal_2020,90.0,97.0,120.0,Drama,,156,Yes,11
2020,2021,The Trial of the Chicago 7,0,the_trial_of_the_chicago_7_2020,90.0,89.0,129.0,History,,191,Yes,10
2021,2022,Belfast,0,belfast_2021,92.0,86.0,97.0,Drama,$9.2M,135,Yes,11
2021,2022,CODA,1,coda_2021,91.0,94.0,111.0,Drama,,226,Yes,8
2021,2022,Don't Look Up,0,don't_look_up_2021,78.0,56.0,138.0,Comedy,,107,Yes,12
2021,2022,Drive My Car,0,drive_my_car_2021,78.0,97.0,179.0,Drama,$2.3M,123,No,11
2021,2022,Dune,0,dune_2021,90.0,83.0,155.0,Sci-fi,$108.3M,156,Yes,10
2021,2022,King Richard,0,king_richard_2021,98.0,90.0,146.0,Biography,$15.1M,128,Yes,11
2021,2022,Licorice Pizza,0,licorice_pizza_2021,66.0,91.0,133.0,Comedy,$17.3M,92,Yes,12
2021,2022,Nightmare Alley,0,nightmare_alley_2021,68.0,81.0,150.0,Mystery & thriller,$11.3M,100,Yes,12
2021,2022,The Power of the Dog,0,the_power_of_the_dog_2021,76.0,94.0,128.0,Western,,130,Yes,11
2021,2022,West Side Story,0,west_side_story_2021,93.0,91.0,156.0,Musical,$38.5M,107,Yes,12
2022,2023,All Quiet on the Western Front,0,all_quiet_on_the_western_front_2022,90.0,89.0,148.0,War,,422,No,10
2022,2023,Avatar: The Way of Water,0,avatar:_the_way_of_water_2022,92.0,76.0,192.0,Sci-fi,$678.3M,352,Yes,12
2022,2023,The Banshees of Inisherin,0,the_banshees_of_inisherin_2022,75.0,96.0,109.0,Comedy,$10.6M,394,Yes,11
2022,2023,Elvis,0,elvis_2022,94.0,77.0,159.0,Biography,$151.0M,527,Yes,6
2022,2023,Everything Everywhere All at Once,1,everything_everywhere_all_at_once_2022,86.0,94.0,132.0,Comedy,$75.7M,604,Yes,4
2022,2023,The Fabelmans,0,the_fabelmans_2022,83.0,92.0,151.0,Drama,$17.3M,375,Yes,11
2022,2023,Tár,0,tár_2022,74.0,91.0,158.0,Drama,$6.8M,401,Yes,10
2022,2023,Top Gun: Maverick,0,top_gun:_maverick_2022,99.0,96.0,131.0,Action,$718.5M,555,Yes,5
2022,2023,Triangle of Sadness,0,triangle_of_sadness_2022,67.0,71.0,149.0,Comedy,$4.6M,422,Yes,10
2023,2024,Barbie,0,barbie_2023,,,,Comedy,,440,Yes,7
2023,2024,Oppenheimer,1,oppenheimer_2023,,,,History,,440,Yes,7
2023,2024,Past Lives,0,past_lives_2023,,94.0,106.0,Romance,,503,Yes,5
